run_folder,video_number,r_local_cm,r_global_cm,tau_sec,autocorr,min_lag_sec,max_lag_sec,persistence_threshold,source_csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.9019,-0.1511615745,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.93526667,-0.1259566493,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.96863333,-0.1276861848,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,2.002,-0.1113503284,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.0,1.0,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.03336667,0.8143170779,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.06673333,0.703333798,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.1001,0.584259558,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.13346667,0.4986940746,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.16683333,0.4238598099,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.2002,0.3767764937,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.23356667,0.327832734,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.26693333,0.3114949307,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
