run_folder,video_number,r_local_cm,r_global_cm,tau_sec,autocorr,min_lag_sec,max_lag_sec,persistence_threshold,source_csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.56823333,0.0744123989,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.6016,0.0694037502,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.63496667,0.0622954303,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.66833333,0.0518197156,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.7017,0.0315686843,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.73506667,-0.0059513516,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.76843333,-0.0273403639,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.8018,-0.0444220856,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.83516667,-0.055109337,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.86853333,-0.0534779377,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.9019,-0.0437173786,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.93526667,-0.0496191387,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.96863333,-0.0188916689,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,2.002,-0.0094320095,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125946_video02_target30cm,2,30.0,30.0,0.0,1.0,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125946_video02_target30cm\center_autocorr_curve.csv
run_20260603_125946_video02_target30cm,2,30.0,30.0,0.03336667,0.8663864928,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125946_video02_target30cm\center_autocorr_curve.csv
run_20260603_125946_video02_target30cm,2,30.0,30.0,0.06673333,0.7962537879,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125946_video02_target30cm\center_autocorr_curve.csv
run_20260603_125946_video02_target30cm,2,30.0,30.0,0.1001,0.737418966,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125946_video02_target30cm\center_autocorr_curve.csv
run_20260603_125946_video02_target30cm,2,30.0,30.0,0.13346667,0.6822269707,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125946_video02_target30cm\center_autocorr_curve.csv
run_20260603_125946_video02_target30cm,2,30.0,30.0,0.16683333,0.662984118,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125946_video02_target30cm\center_autocorr_curve.csv
run_20260603_125946_video02_target30cm,2,30.0,30.0,0.2002,0.637644229,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125946_video02_target30cm\center_autocorr_curve.csv
run_20260603_125946_video02_target30cm,2,30.0,30.0,0.23356667,0.6247216552,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125946_video02_target30cm\center_autocorr_curve.csv
run_20260603_125946_video02_target30cm,2,30.0,30.0,0.26693333,0.6160396852,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125946_video02_target30cm\center_autocorr_curve.csv
run_20260603_125946_video02_target30cm,2,30.0,30.0,0.3003,0.6011467517,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125946_video02_target30cm\center_autocorr_curve.csv
run_20260603_125946_video02_target30cm,2,30.0,30.0,0.33366667,0.5859645517,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125946_video02_target30cm\center_autocorr_curve.csv
